idRischio,sesso,etaMin,etaMax,diabete,fumo,pressioneMin,pressioneMax,colesteroloMin,colesteroloMax,percentuale
r284,uomo,40,49,1,0,170,200,252,290,15
r285,uomo,40,49,1,0,170,200,291,320,20
r286,uomo,40,49,1,0,150,169,130,173,10
r287,uomo,40,49,1,0,150,169,174,212,10
r288,uomo,40,49,1,0,150,169,213,251,10
r289,uomo,40,49,1,0,150,169,252,290,10
r290,uomo,40,49,1,0,150,169,291,320,15
r291,uomo,40,49,1,0,130,149,130,173,5
r292,uomo,40,49,1,0,130,149,174,212,5
r293,uomo,40,49,1,0,130,149,213,251,5
r294,uomo,40,49,1,0,130,149,252,290,10
r295,uomo,40,49,1,0,130,149,291,320,10
r296,uomo,40,49,1,0,90,129,130,173,5
r297,uomo,40,49,1,0,90,129,174,212,5
r298,uomo,40,49,1,0,90,129,213,251,5
r299,uomo,40,49,1,0,90,129,252,290,5
r300,uomo,40,49,1,0,90,129,291,320,10
r301,uomo,60,69,1,1,170,200,130,173,31
r302,uomo,60,69,1,1,170,200,174,212,31
r303,uomo,60,69,1,1,170,200,213,251,31
r304,uomo,60,69,1,1,170,200,252,290,31
r305,uomo,60,69,1,1,170,200,291,320,31
r306,uomo,60,69,1,1,150,169,130,173,31
r307,uomo,60,69,1,1,150,169,174,212,31
r038,uomo,60,69,1,1,150,169,213,251,31
r309,uomo,60,69,1,1,150,169,252,290,31
r310,uomo,60,69,1,1,150,169,291,320,31
r311,uomo,60,69,1,1,130,149,130,173,30
r312,uomo,60,69,1,1,130,149,174,212,30
r313,uomo,60,69,1,1,130,149,213,251,31
r314,uomo,60,69,1,1,130,149,252,290,31
r315,uomo,60,69,1,1,130,149,291,320,31
r316,uomo,60,69,1,1,90,129,130,173,30
r317,uomo,60,69,1,1,90,129,174,212,30
r318,uomo,60,69,1,1,90,129,213,251,30
r319,uomo,60,69,1,1,90,129,252,290,31
r320,uomo,60,69,1,1,90,129,291,320,31
r321,uomo,50,59,1,1,170,200,130,173,30
r322,uomo,50,59,1,1,170,200,174,212,30
r323,uomo,50,50,1,1,170,200,213,251,30
r324,uomo,50,59,1,1,170,200,252,290,31
r325,uomo,50,59,1,1,170,200,291,320,31
r326,uomo,50,59,1,1,150,169,130,173,20
r327,uomo,50,59,1,1,150,169,174,212,20
r328,uomo,50,59,1,1,150,169,213,251,30
r329,uomo,50,59,1,1,150,169,252,290,30
r330,uomo,50,59,1,1,150,169,291,320,31
r331,uomo,50,59,1,1,130,149,130,173,15
r332,uomo,50,59,1,1,130,149,174,212,15
r333,uomo,50,59,1,1,130,149,213,251,20
r334,uomo,50,59,1,1,130,149,252,290,20
r335,uomo,50,59,1,1,130,149,291,320,30
r336,uomo,50,59,1,1,90,129,130,173,15
r337,uomo,50,59,1,1,90,129,174,212,15
r338,uomo,50,59,1,1,90,129,213,251,15
r339,uomo,50,59,1,1,90,129,252,290,15
r340,uomo,50,59,1,1,90,129,291,320,20
r341,uomo,40,49,1,1,170,200,130,173,15
r342,uomo,40,49,1,1,170,200,174,212,15
r343,uomo,40,49,1,1,170,200,213,251,15
r344,uomo,40,49,1,1,170,200,252,290,20
r345,uomo,40,49,1,1,170,200,291,320,30
r346,uomo,40,49,1,1,150,169,130,173,10
r3047,uomo,40,49,1,1,150,169,174,212,10
r348,uomo,40,49,1,1,150,169,213,251,15
r349,uomo,40,49,1,1,150,169,252,290,15
r350,uomo,40,49,1,1,150,169,291,320,20
r351,uomo,40,49,1,1,130,149,130,173,10
r352,uomo,40,49,1,1,130,149,174,212,10
r353,uomo,40,49,1,1,130,149,213,251,10
r354,uomo,40,49,1,1,130,149,252,290,10
r355,uomo,40,49,1,1,130,149,291,320,15
r356,uomo,40,49,1,1,90,129,130,173,5
r357,uomo,40,49,1,1,90,129,174,212,5
r358,uomo,40,49,1,1,90,129,213,251,10
r359,uomo,40,49,1,1,90,129,252,290,10
r360,uomo,40,49,1,1,90,129,291,320,15
r361,uomo,60,69,0,0,170,200,130,173,20
r362,uomo,60,69,0,0,170,200,174,212,30
r363,uomo,60,69,0,0,170,200,213,251,30
r364,uomo,60,69,0,0,170,200,252,290,30
r365,uomo,60,69,0,0,170,200,291,320,31
r366,uomo,60,69,0,0,150,169,130,173,15
r367,uomo,60,69,0,0,150,169,174,212,20
r368,uomo,60,69,0,0,150,169,213,251,20
r369,uomo,60,69,0,0,150,169,252,290,30
r370,uomo,60,69,0,0,150,169,291,320,31
r371,uomo,60,69,0,0,130,149,130,173,15
r372,uomo,60,69,0,0,130,149,174,212,15
r373,uomo,60,69,0,0,130,149,213,251,15
r374,uomo,60,69,0,0,130,149,252,290,20
r375,uomo,60,69,0,0,130,149,291,320,30
r376,uomo,60,69,0,0,90,129,130,173,10
r377,uomo,60,69,0,0,90,129,174,212,10
r378,uomo,60,69,0,0,90,129,213,251,15
r379,uomo,60,69,0,0,90,129,252,290,15
r380,uomo,60,69,0,0,90,129,291,320,20
r381,uomo,50,59,0,0,170,200,130,173,10
r382,uomo,50,59,0,0,170,200,174,212,10
r383,uomo,50,50,0,0,170,200,213,251,15
r384,uomo,50,59,0,0,170,200,252,290,15
r385,uomo,50,59,0,0,170,200,291,320,30
r386,uomo,50,59,0,0,150,169,130,173,10
r387,uomo,50,59,0,0,150,169,174,212,10
r388,uomo,50,59,0,0,150,169,213,251,10
r389,uomo,50,59,0,0,150,169,252,290,15
r390,uomo,50,59,0,0,150,169,291,320,20
r391,uomo,50,59,0,0,130,149,130,173,5
r392,uomo,50,59,0,0,130,149,174,212,10
r393,uomo,50,59,0,0,130,149,213,251,10
r394,uomo,50,59,0,0,130,149,252,290,10
r395,uomo,50,59,0,0,130,149,291,320,15
r396,uomo,50,59,0,0,90,129,130,173,5
r397,uomo,50,59,0,0,90,129,174,212,5
r398,uomo,50,59,0,0,90,129,213,251,5
r399,uomo,50,59,0,0,90,129,252,290,10
